sentiment1,sentiment2,ret_1_0,seas_1_1an,market_equity,ret_2_0,ret_3_0,ret_3_1,assets,sales,book_equity,net_income,enterprise_value,at_gr1,ca_gr1,nca_gr1,lt_gr1,at_gr3,cash_gr1a,ca_gr3,inv_gr1a,nca_gr3,rec_gr1a,lt_gr3,ppeg_gr1a,market_equity.1,yom,transcript_id,name,ticker,Report_Sent,QA_Sent
0.158450149,0.171,0.08995565,0.079981349,38555.08714,0.23595561,0.299457082,0.192210969,11596.642,11604.493,296.157,1752.302,44254.13314,0.082062972,0.173756841,0.030995433,0.110134092,0.531539636,0.036668718,0.324373571,0.017169022,0.700165995,0.003094603,0.655824626,0.037531727,38555.08714,202104,720,"O_reilly Automotive, Inc.",ORLY,0.192625053,0.142275933
0.125856138,0.147,0.097434841,0.042893931,40553.12731,0.172025321,0.093103518,-0.00394677,9518.1,4458.1,476.6,1309.6,45400.82731,0.055924118,0.028238967,0.06852079,0.069711427,0.860857495,-0.007060233,-0.060577578,0,2.261578636,0.009854908,0.681746671,0.063909814,40553.12731,201907,721,Moody_s Corporation,MCO,0.097392063,0.140842708
0.150455392,0.155,0.05137844,-0.183526829,31405.69637,-0.011578367,0.011052308,-0.038355487,12503.951,11258.695,883.402,1684.273,36359.98437,0.205464543,0.485691326,0.048475272,0.155608703,0.671801397,0.126703472,0.647602294,0.014304599,0.691523612,0.002670596,0.718058268,0.035886657,31405.69637,202102,723,"O_reilly Automotive, Inc.",ORLY,0.160088242,0.139584572
0.155267105,0.166,0.066459447,-0.024613515,41745.27258,0.128419855,0.09217194,0.024110146,11850.887,12218.905,158.419,1953.473,47349.62658,0.066795771,0.115626398,0.037090445,0.077985872,0.545769819,0.027323946,0.360150893,0.005525156,0.697353188,0.006412853,0.637186795,0.037341509,41745.27258,202107,724,"O_reilly Automotive, Inc.",ORLY,0.18266786,0.131618758
0.136777563,0.144,0.077430069,0.096439458,41666.27246,0.023703501,0.032013895,-0.042152318,9591.6,4496.6,701.4,1243.7,46338.07246,0.095982449,0.110891996,0.088820853,0.087487186,0.901246804,-0.010457067,0.041087753,0,2.19485805,0.011280704,0.665355349,0.053567705,41666.27246,201910,726,Moody_s Corporation,MCO,0.114543801,0.151530186
0.148329627,0.158,0.034740496,-0.11886014,51431.92174,-0.050751022,-0.02419063,-0.056952566,11672,5313.8,1882,1823.4,55736.92174,0.231509422,0.407159057,0.148473312,0.137246857,0.405435345,0.112594243,0.878537891,0,0.22651842,0.011274846,0.17931385,0.002184716,51431.92174,202102,728,Moody_s Corporation,MCO,0.147975915,0.206666667
0.127721779,0.152,0.037613504,0.049413536,70011.2,0.121216619,0.152995513,0.11119941,12500,5681,2434,2026,73986.2,0.105607642,0.17551327,0.067423414,-0.02152176,0.386731751,0.05072,0.665602384,0,0.259846333,0.00672,0.195601583,0.0012,70011.2,202107,730,Moody_s Corporation,MCO,0.098387151,0.139081067
0.143118027,0.149,0.094102703,0.098688029,61143.7749,0.188511678,0.229801164,0.124027169,12409,5371,1973,1778,65390.7749,0.208865076,0.225604784,0.199514121,0.129189648,0.443880757,0.06172939,0.747268077,0,0.313688972,0.000886453,0.222399559,0.00096704,61143.7749,202104,731,Moody_s Corporation,MCO,0.133364202,0.146305286
0.146960801,0.16,0.0469472,0.098604664,64115.79996,0.072900883,0.098344998,0.049093018,18126,11790.2,6650.4,967.4,69968.29996,-0.131443138,0.059854196,-0.189025417,-0.018018166,-0.091992947,0.05924087,0.113349578,-0.012159329,-0.153416634,-0.026911619,-0.028451078,-0.076823348,64115.79996,202104,733,"Ecolab, Inc.",ECL,0.141322897,0.153662329
0.131230378,0.132,0.153191462,-0.067337967,45660.03006,0.016122963,-0.047980787,-0.174448264,10265,4829,969,1422,49885.03006,0.077554534,0.086244058,0.072760738,0.062944632,0.926867269,0.010959571,0.130921275,0,2.175200077,0.012849489,0.48364964,0.046410132,45660.03006,202004,734,Moody_s Corporation,MCO,0.111416879,0.141235724
0.146741459,0.16,-0.030145355,0.047926948,55268.52875,-0.066859855,-0.045674193,-0.016011511,20827.6,13601.5,9016.6,1425.5,62789.22875,0.043906253,0.053299768,0.041085266,0.04277138,0.142828924,0.001512416,0.185110124,0.003250495,0.130573564,0.006380956,0.086819559,0.042141197,55268.52875,201910,735,"Ecolab, Inc.",ECL,0.151311304,0.132464417
0.152384443,0.16,-0.079853162,0.047895268,52013.62892,-0.064977503,-0.03096663,0.053129055,20835.6,13078.3,9389.3,1426,59194.32892,0.043731778,0.009912283,0.054503544,0.020334569,0.133675757,-0.003249246,0.167329818,-5.76E-05,0.123792832,0.002409338,0.068741803,0.044020811,52013.62892,202002,736,"Ecolab, Inc.",ECL,0.174858371,0.14780158
0.147069369,0.167,0.241737783,5.43E-05,55953.621,0.075553449,-0.010332895,-0.202998316,20869.1,14906.3,9425.7,1558.9,62699.721,0.039582555,0.032216688,0.041820378,0.010182266,0.138509127,0.003435702,0.128289013,-0.001955044,0.141621829,0.00591784,0.069018337,0.055498321,55953.621,202004,737,"Ecolab, Inc.",ECL,0.160524362,0.138744998
0.142337125,0.173,-0.081315055,-0.028114796,52404.84651,-0.066258492,-0.016347143,0.070718382,18082.4,12174.5,6432.4,1251.5,58764.94651,-0.131805873,0.064427733,-0.191428625,-0.029144304,-0.073808865,0.070969562,0.139913065,-0.021932929,-0.138420284,-0.029022696,-0.027324148,-0.057287749,52404.84651,202010,739,"Ecolab, Inc.",ECL,0.187292462,0.136703142
0.187776904,0.214,0.023715252,-0.133832067,59760.76537,-0.032353484,-0.055482885,-0.077363444,18097.1,11969.1,6595.3,1061.8,66076.16537,-0.1314337,0.025030287,-0.179161317,-0.014357942,-0.088614926,0.049665416,0.081807346,-0.016516458,-0.140209419,-0.020544728,-0.040597253,-0.059031558,59760.76537,202102,740,"Ecolab, Inc.",ECL,0.170833923,0.210440477
0.14401953,0.141,-0.063086607,0.046037439,44981.62177,0.013394526,0.061410862,0.132880445,9477.8,4656.3,828.3,1312.9,49530.32177,0.123081845,0.209085128,0.086545442,0.120222137,0.888271273,0.013536897,0.008419238,0,2.213893328,0.010192239,0.631834412,0.052174555,44981.62177,202002,741,Moody_s Corporation,MCO,0.137215269,0.148465751
0.17152962,0.18,0.021728085,0.069509588,58147.05743,0.098375767,0.098435402,0.075076058,20927.6,14122,9013,1433.4,65779.85743,0.036825652,0.033545075,0.037793103,0.011690533,0.14097853,-0.004611136,0.132565735,0.004959957,0.143473128,0.006656282,0.083064578,0.043492804,58147.05743,201907,744,"Ecolab, Inc.",ECL,0.220555659,0.166313731
0.148577072,0.165,-0.05966321,0.022703623,53176.7422,-0.117875821,-0.030894262,0.030594302,22339.6,12657.9,9559.5,1466,59856.5422,0.067470709,0.354893707,-0.016944228,0.064633077,0.1621287,0.070856237,0.494462889,-0.005188096,0.066158477,0.007811241,0.091903277,0.017448835,53176.7422,202007,745,"Ecolab, Inc.",ECL,0.203779259,0.141840334
0.186222749,0.187,-0.040892623,-0.040335506,48481.36359,-0.036485044,-0.103567466,-0.065347055,21206.4,12733.1,7846.2,1129.9,57277.36359,0.169943727,-0.084085669,0.269875313,0.170137113,0.056384966,-0.042454165,0.002009535,0.009742342,0.072904759,0.008832239,0.160753355,0.017513581,48481.36359,202204,746,"Ecolab, Inc.",ECL,0.185387281,0.186701138
0.205022673,0.194,0.06519033,0.210033223,63574.25349,-0.011664485,0.008609748,-0.053117815,18533.7,12131.6,7276.4,1050.9,69291.25349,0.02495797,0.062173358,0.010072622,-0.032381359,-0.071066982,0.001802123,0.190867857,0.010240805,-0.149729205,0.006258869,-0.020401724,0.006043046,63574.25349,202110,747,"Ecolab, Inc.",ECL,0.239089787,0.199076402
0.119497534,0.143,0.023914304,0.008117969,52743.74771,0.051942651,0.155756797,0.128763211,11306,4976.9,1006,1537.1,57852.74771,0.187842111,0.378001656,0.104581779,0.142269746,1.079876377,0.081408102,0.145890116,0,2.748974569,0.009888555,0.704680119,-0.007668495,52743.74771,202007,749,Moody_s Corporation,MCO,0.134986355,0.111500648
0.187196446,0.19,0.072146431,0.053453069,63143.46823,0.029126977,-0.01238338,-0.078841666,18208.1,11654.6,6819.1,869,69077.96823,-0.184940644,-0.199950288,-0.178864958,-0.118035463,-0.09790778,-0.025944497,0.120344588,-0.010033996,-0.162271051,-0.030486432,-0.050054337,-0.076125461,63143.46823,202107,751,"Ecolab, Inc.",ECL,0.15902893,0.214975754
0.158750879,0.19,0.074206583,0.020513512,47181.63583,0.011029465,-0.021389824,-0.088992572,21067.2,13114.8,7700.8,1108.2,56228.93583,0.157023523,-0.10592233,0.260727058,0.174470054,0.006670617,-0.051743943,-0.030835614,0.011529771,0.01768604,0.010020316,0.102790525,0.021151363,47181.63583,202207,752,"Ecolab, Inc.",ECL,0.181207182,0.155999312
0.158714634,0.135,0.108045153,-0.016404115,46249.03113,-0.011639973,-0.069437351,-0.160176238,25635.8,4958.3,15028,818.7,50465.83113,0.073926212,1.578820283,-0.044348152,-0.077944969,0.663139593,0.113376606,1.828247163,-0.000128726,0.529508754,-0.0073608,0.660629131,-0.004908514,46249.03113,202207,753,"Roper Technologies, Inc.",ROP,0.164241626,0.147279233
0.16571133,0.184,-0.069622606,0.024789868,50542.90595,-0.248646592,-0.202405823,-0.142719737,17926.2,12433.8,7522.9,1129.2,55974.20595,-0.009443502,-0.001041667,-0.012643933,-0.089917578,-0.10201076,-0.007631288,0.034112353,0.005042898,-0.145367001,0.002036126,-0.084744065,-0.000256608,50542.90595,202202,755,"Ecolab, Inc.",ECL,0.187302885,0.161978164
0.161148488,0.166,0.025299655,0.068110801,47280.48683,-0.087431995,-0.032951218,-0.056813511,23728.1,4912.8,12868.3,863.2,55257.08683,0.003217487,0.392099402,-0.027016559,-0.081928086,0.556441086,0.002124064,0.477114428,-0.001706837,0.56579478,-0.007918881,0.610595303,0.001448503,47280.48683,202202,756,"Roper Technologies, Inc.",ROP,0.174556045,0.149981348
0.166019497,0.165,-0.005863364,-0.01169261,37761.77902,0.058712725,0.012267118,0.018237415,15414.1,5275.9,9057.9,1102.7,42151.27902,0.095210351,0.055925433,0.099903755,0.051759026,0.507578727,0.00170623,0.107285183,-0.000596856,0.572791227,0.000467105,0.521312317,-0.001224237,37761.77902,201907,757,"Roper Technologies, Inc.",ROP,0.16613505,0.2
0.198646208,0.17,-0.053778782,0.051926486,35044.51303,-0.079991048,-0.072122926,-0.019386739,15908.3,5312.5,9299.9,1124,39724.41303,0.035629191,-0.029556054,0.043479529,-0.062148645,0.544927425,-0.006348887,0.033626569,0.000100576,0.635542467,0.002633845,0.592317568,-0.001224237,35044.51303,201910,760,"Roper Technologies, Inc.",ROP,0.208219668,0.186701341
0.142314139,0.115,-0.008537879,0.037168641,53093.61322,0.012045168,-0.069490453,-0.061477461,233737,145128,42816,9153,132947.6132,0.06904469,0.154078721,0.028618665,0.03690453,0.110658639,0.01539337,0.089454643,0.002626884,0.122309839,0.028318153,0.121372698,0.032299781,53093.61322,201910,761,General Motors Company,GM,0.117458227,0.150024475
0.140105802,0.135,-0.058863331,0.069474131,38883.38236,-0.129538394,-0.14012606,-0.086345301,19142.3,5069.7,10950,1542.1,42878.98236,0.203290106,0.984147788,0.115832518,0.225649372,0.346789005,0.080972506,0.868896268,0.000684348,0.275805162,0.002533656,0.155975151,0.016616139,38883.38236,202010,762,"Roper Technologies, Inc.",ROP,0.135035611,0.146635064
0.161048739,0.155,0.166948244,-0.031216357,49415.77766,0.165372923,0.387304127,0.188830897,237535,115786,39304,1693,136136.7777,0.016249032,0.076144442,-0.015698906,0.039614676,-0.01150645,0.057465216,0.028396469,-0.00491296,-0.033378646,-0.031532195,-0.002739304,0.004714147,49415.77766,202010,763,General Motors Company,GM,0.142573117,0.166502561
0.187298458,0.171,0.078882344,0.142589793,39714.77666,0.060500346,0.134177686,0.05125243,17819.1,5348.3,9671,1153.9,45875.87666,0.168841136,0.007089552,0.187913853,0.202543497,0.700275035,-0.00226723,-0.087564817,-0.000404061,0.860897197,0.001891229,0.939709553,-0.001224237,39714.77666,202001,764,"Roper Technologies, Inc.",ROP,0.203929697,0.174474766
